date,year,home_team,away_team,home_score,away_score,result,tournament,neutral,home_recent_goals_for,home_recent_goals_against,home_recent_form,home_recent_matches,away_recent_goals_for,away_recent_goals_against,away_recent_form,away_recent_matches
2000-01-31,2000,Cameroon,Togo,0.0,1.0,A,African Cup of Nations,True,1.5,0.75,6,4,0.6,2.4,4,5
2000-01-31,2000,Ghana,Ivory Coast,0.0,2.0,A,African Cup of Nations,False,1.6666666666666667,0.3333333333333333,7,3,1.0,1.3333333333333333,4,3
2000-02-01,2000,Egypt,Burkina Faso,4.0,2.0,H,African Cup of Nations,True,1.0,0.8,9,5,1.2,1.4,6,5
2000-02-06,2000,Cameroon,Algeria,2.0,1.0,H,African Cup of Nations,True,1.2,0.8,6,5,1.0,0.75,5,4
2000-02-06,2000,Ghana,South Africa,0.0,1.0,A,African Cup of Nations,False,1.25,0.75,7,4,1.6666666666666667,0.6666666666666666,7,3
2000-02-07,2000,Egypt,Tunisia,0.0,1.0,A,African Cup of Nations,True,1.4,1.0,9,5,2.0,1.2,7,5
2000-02-07,2000,Nigeria,Senegal,2.0,1.0,H,African Cup of Nations,False,2.0,0.6666666666666666,7,3,1.25,1.0,5,4
2000-02-10,2000,Nigeria,South Africa,2.0,0.0,H,African Cup of Nations,False,2.0,0.75,10,4,1.5,0.5,10,4
2000-02-10,2000,Cameroon,Tunisia,3.0,0.0,H,African Cup of Nations,True,1.2,0.6,8,5,0.8,1.2,7,5
2000-02-12,2000,South Africa,Tunisia,2.0,2.0,D,African Cup of Nations,True,1.2,0.8,10,5,0.8,1.4,7,5
2000-02-13,2000,Nigeria,Cameroon,2.0,2.0,D,African Cup of Nations,False,2.0,0.6,13,5,1.8,0.6,10,5
2000-02-13,2000,Mexico,Trinidad and Tobago,4.0,0.0,H,Gold Cup,True,1.3333333333333333,1.0,6,3,0.3333333333333333,1.0,1,3
2000-02-15,2000,Trinidad and Tobago,Guatemala,4.0,2.0,H,Gold Cup,True,0.25,1.75,1,4,1.0,1.25,5,4
2000-02-17,2000,Mexico,Guatemala,1.0,1.0,D,Gold Cup,True,2.0,0.75,9,4,1.2,1.8,5,5
2000-02-17,2000,South Korea,Costa Rica,2.0,2.0,D,Gold Cup,True,0.3333333333333333,0.0,5,3,1.6666666666666667,1.0,7,3
2000-02-18,2000,Kuwait,Nepal,5.0,0.0,H,AFC Asian Cup qualification,False,6.6,0.4,13,5,1.0,2.6666666666666665,3,3
2000-02-18,2000,Yemen,Bhutan,11.0,2.0,H,AFC Asian Cup qualification,True,1.0,1.0,3,3,0.0,10.333333333333334,0,3
2000-02-20,2000,Mexico,Canada,1.0,2.0,A,Gold Cup,True,1.8,0.8,10,5,1.0,0.5,6,4
2000-02-20,2000,Costa Rica,Trinidad and Tobago,1.0,2.0,A,Gold Cup,True,1.75,1.25,8,4,1.0,1.8,4,5
2000-02-23,2000,Colombia,Peru,2.0,1.0,H,Gold Cup,True,1.0,1.3333333333333333,4,3,2.0,1.6666666666666667,4,3
2000-02-24,2000,Trinidad and Tobago,Canada,0.0,1.0,A,Gold Cup,True,1.4,2.0,6,5,1.2,0.6,9,5
2000-02-27,2000,Thailand,Finland,5.0,1.0,H,King's Cup,False,0.6666666666666666,2.6666666666666665,4,3,1.25,0.75,7,4
2000-02-27,2000,Canada,Colombia,2.0,0.0,H,Gold Cup,True,1.4,0.6,11,5,1.25,1.25,7,4
2000-03-12,2000,United States,Tunisia,1.0,1.0,D,Friendly,False,1.8,0.8,11,5,0.8,1.0,8,5
2000-03-13,2000,Jordan,Syria,0.0,0.0,D,Friendly,False,0.5,0.5,4,4,1.25,1.25,5,4
2000-03-15,2000,Japan,China,0.0,0.0,D,Friendly,False,3.75,0.25,9,4,7.5,0.0,12,4
2000-03-17,2000,Jordan,Syria,0.0,0.0,D,Friendly,False,0.4,0.6,4,5,1.0,1.0,6,5
2000-03-22,2000,Chile,Honduras,5.0,2.0,H,Friendly,False,1.2,1.6,6,5,2.6,1.2,12,5
2000-03-22,2000,Cyprus,Iran,0.0,0.0,D,Friendly,False,2.6666666666666665,1.6666666666666667,9,3,1.0,1.3333333333333333,2,3
2000-03-25,2000,Thailand,North Korea,0.0,0.0,D,AFC Asian Cup qualification,True,1.75,2.25,7,4,0.3333333333333333,2.0,1,3
2000-03-27,2000,Malaysia,North Korea,1.0,1.0,D,AFC Asian Cup qualification,False,2.25,0.75,9,4,0.25,1.5,2,4
2000-03-28,2000,El Salvador,Haiti,3.0,1.0,H,Friendly,False,2.5,2.5,6,4,2.0,2.8,7,5
2000-03-29,2000,Malaysia,Thailand,3.0,2.0,H,AFC Asian Cup qualification,False,2.0,0.8,10,5,1.8,1.8,10,5
2000-03-31,2000,Syria,Bahrain,1.0,0.0,H,AFC Asian Cup qualification,False,1.0,0.2,7,5,0.6666666666666666,0.6666666666666666,4,3
2000-04-02,2000,Syria,Iran,0.0,1.0,A,AFC Asian Cup qualification,False,0.2,0.0,7,5,2.2,0.8,6,5
2000-04-02,2000,Panama,Honduras,1.0,0.0,H,FIFA World Cup qualification,False,2.0,1.0,10,5,2.6,2.2,9,5
2000-04-02,2000,Trinidad and Tobago,Dominican Republic,3.0,0.0,H,FIFA World Cup qualification,False,2.4,1.0,10,5,2.3333333333333335,0.3333333333333333,9,3
2000-04-02,2000,Guatemala,El Salvador,0.0,1.0,A,FIFA World Cup qualification,False,1.6,1.6,8,5,2.6,2.2,9,5
2000-04-02,2000,Bahrain,Maldives,4.0,1.0,H,AFC Asian Cup qualification,True,0.5,0.75,4,4,0.0,4.333333333333333,0,3
2000-04-04,2000,Thailand,North Korea,5.0,3.0,H,AFC Asian Cup qualification,False,2.2,1.0,10,5,0.4,1.4,3,5
2000-04-04,2000,Syria,Maldives,6.0,0.0,H,AFC Asian Cup qualification,False,0.2,0.2,6,5,0.25,4.25,0,4
2000-04-04,2000,Bahrain,Iran,1.0,0.0,H,AFC Asian Cup qualification,True,1.2,0.8,7,5,2.2,0.4,9,5
2000-04-06,2000,Thailand,Taiwan,1.0,0.0,H,AFC Asian Cup qualification,False,2.8,1.4,10,5,1.0,2.3333333333333335,3,3
2000-04-06,2000,Kazakhstan,Palestine,2.0,0.0,H,AFC Asian Cup qualification,True,1.0,1.0,6,3,1.0,2.0,3,3
2000-04-06,2000,Malaysia,North Korea,1.0,4.0,A,AFC Asian Cup qualification,True,2.4,1.2,10,5,0.8,1.4,3,5
2000-04-08,2000,Thailand,Malaysia,3.0,2.0,H,AFC Asian Cup qualification,False,2.0,1.2,10,5,2.0,2.0,7,5
2000-04-08,2000,Qatar,Jordan,2.0,2.0,D,AFC Asian Cup qualification,False,2.4,0.4,12,5,2.2,0.6,8,5
2000-04-08,2000,Pakistan,Kazakhstan,0.0,4.0,A,AFC Asian Cup qualification,True,0.0,4.0,0,3,1.25,0.75,9,4
2000-04-08,2000,Botswana,Zambia,0.0,1.0,A,FIFA World Cup qualification,False,1.3333333333333333,1.0,6,3,1.4,0.4,10,5
2000-04-09,2000,Lesotho,South Africa,0.0,2.0,A,FIFA World Cup qualification,False,0.5,1.25,3,4,1.0,1.0,8,5
2000-04-09,2000,Syria,Maldives,2.0,1.0,H,AFC Asian Cup qualification,True,1.4,0.2,8,5,0.2,4.6,0,5
2000-04-09,2000,Iran,Bahrain,3.0,0.0,H,AFC Asian Cup qualification,False,2.0,0.4,8,5,1.4,0.6,10,5
2000-04-11,2000,Bahrain,Maldives,1.0,0.0,H,AFC Asian Cup qualification,True,1.2,1.2,7,5,0.4,4.6,0,5
2000-04-11,2000,Iran,Syria,1.0,1.0,D,AFC Asian Cup qualification,False,2.4,0.2,10,5,1.8,0.4,10,5
2000-04-13,2000,Bahrain,Syria,0.0,1.0,A,AFC Asian Cup qualification,True,1.2,1.0,9,5,2.0,0.6,10,5
2000-04-13,2000,Iran,Maldives,3.0,0.0,H,AFC Asian Cup qualification,False,2.6,0.4,10,5,0.4,4.2,0,5
2000-04-15,2000,Papua New Guinea,Vanuatu,1.0,4.0,A,Melanesia Cup,True,1.0,5.0,0,3,2.6666666666666665,2.0,3,3
2000-04-15,2000,Fiji,Solomon Islands,2.0,2.0,D,Melanesia Cup,False,3.6666666666666665,0.6666666666666666,9,3,2.6666666666666665,2.3333333333333335,6,3
2000-04-16,2000,Suriname,Cuba,0.0,0.0,D,FIFA World Cup qualification,False,0.3333333333333333,0.6666666666666666,3,3,2.25,0.0,10,4
2000-04-16,2000,Nicaragua,Honduras,0.0,1.0,A,FIFA World Cup qualification,False,0.0,3.0,0,3,2.2,2.4,6,5
2000-04-16,2000,Barbados,Aruba,4.0,0.0,H,FIFA World Cup qualification,False,2.2,1.4,11,5,2.3333333333333335,2.3333333333333335,4,3
2000-04-16,2000,Bahamas,Haiti,0.0,4.0,A,FIFA World Cup qualification,False,1.6666666666666667,3.6666666666666665,6,3,3.8,2.6,9,5
2000-04-16,2000,Dominican Republic,Trinidad and Tobago,0.0,1.0,A,FIFA World Cup qualification,False,1.75,1.0,9,4,2.2,0.6,10,5
2000-04-22,2000,Zambia,Botswana,1.0,0.0,H,FIFA World Cup qualification,False,1.2,0.4,10,5,1.0,1.0,6,4
2000-04-22,2000,Tunisia,Mauritania,3.0,0.0,H,FIFA World Cup qualification,False,1.2,1.4,8,5,0.3333333333333333,0.6666666666666666,2,3
2000-04-22,2000,Saint Kitts and Nevis,Saint Vincent and the Grenadines,1.0,2.0,A,FIFA World Cup qualification,False,2.8,0.6,6,5,5.0,0.3333333333333333,9,3
2000-04-22,2000,South Africa,Lesotho,1.0,0.0,H,FIFA World Cup qualification,False,1.2,1.0,8,5,0.4,1.4,3,5
2000-04-22,2000,Morocco,Gambia,2.0,0.0,H,FIFA World Cup qualification,False,0.6,0.4,10,5,0.0,0.3333333333333333,2,3
2000-04-22,2000,Kenya,Malawi,0.0,0.0,D,FIFA World Cup qualification,False,0.6666666666666666,1.6666666666666667,1,3,1.8,1.2,10,5
2000-04-23,2000,Burkina Faso,Ethiopia,3.0,0.0,H,FIFA World Cup qualification,False,1.2,2.4,1,5,1.3333333333333333,1.0,6,3
2000-04-23,2000,Bermuda,Antigua and Barbuda,1.0,1.0,D,FIFA World Cup qualification,False,3.5,0.75,7,4,0.6666666666666666,1.3333333333333333,2,3
2000-04-23,2000,Ghana,Tanzania,3.0,2.0,H,FIFA World Cup qualification,False,0.8,0.8,7,5,1.6666666666666667,1.6666666666666667,4,3
2000-04-26,2000,Poland,Finland,0.0,0.0,D,Friendly,False,0.0,1.3333333333333333,1,3,1.4,1.8,7,5
2000-04-26,2000,Romania,Cyprus,2.0,0.0,H,Friendly,False,1.25,1.5,4,4,2.0,1.25,10,4
2000-04-26,2000,Armenia,Georgia,0.0,0.0,D,Friendly,False,1.5,1.75,4,4,1.3333333333333333,1.0,5,3
2000-04-26,2000,Bolivia,Colombia,1.0,1.0,D,FIFA World Cup qualification,False,3.0,1.0,4,3,0.8,1.4,5,5
2000-04-26,2000,South Korea,Japan,1.0,0.0,H,Friendly,False,4.2,0.4,11,5,3.0,0.2,10,5
2000-04-26,2000,Chile,Peru,1.0,1.0,D,FIFA World Cup qualification,False,2.2,2.2,9,5,1.8,1.4,7,5
